dropped,delta_deviance,D_drop,axis_sep_cmb_deg
Y2_0_re_z,23.0737,0.0268483,30.5733
Y2_1_re_z,16.0563,0.0145846,59.0489
log1p_starcount_z,13.3108,0.010256,76.6433
sin2_elon_z,11.5785,0.0141311,50.7844
log_invvar_z,8.78273,0.00851765,73.7077
Y4_0_re_z,6.99358,0.0116614,36.7821
Y3_0_re_z,6.36865,0.0090393,10.5485
lognexp_z,6.22026,0.00775592,64.16
Y5_4_re_z,5.66903,0.0348929,32.1907
Y4_2_im_z,5.6553,0.00938349,37.4447
Y3_1_re_z,4.92057,0.02155,67.5067
Y4_1_im_z,4.76729,0.0117619,43.8592
ebv_mean_z,4.4365,0.0039615,85.4066
cos2_elon_z,4.27539,0.0166603,34.272
Y5_0_re_z,3.32848,0.0193333,25.4125
sin_elon_z,3.31061,0.0299145,77.7245
Y5_1_re_z,3.1002,0.0141918,75.0141
Y5_5_re_z,2.8908,0.0183597,43.7294
Y3_2_re_z,2.72978,0.0355964,17.8938
Y4_2_re_z,2.70405,0.00662463,33.3423
Y2_2_im_z,2.09961,0.00557476,57.4051
Y5_1_im_z,1.98535,0.0243542,11.9967
Y2_2_re_z,1.86401,0.00542634,72.7708
Y5_2_re_z,1.75818,0.0134922,29.7642
Y4_4_im_z,0.98356,0.00667925,59.2796
Y4_3_re_z,0.955802,0.00637362,76.2055
Y5_4_im_z,0.896152,0.0127707,46.4756
Y4_1_re_z,0.800219,0.00565706,85.1098
Y3_1_im_z,0.671561,0.0211461,19.8376
Y5_3_re_z,0.482168,0.0075208,54.3247
Y4_3_im_z,0.333626,0.00507299,87.1367
Y5_5_im_z,0.31704,0.00503733,56.2543
Y2_1_im_z,0.243741,0.00640856,67.1495
cos_elon_z,0.147116,0.0134434,36.312
Y3_2_im_z,0.117742,0.00671237,54.742
Y3_3_re_z,0.0987151,0.00523702,69.4056
Y5_2_im_z,0.0838402,0.00668777,72.7516
Y4_4_re_z,0.0688081,0.00615412,70.4564
Y5_3_im_z,0.0385068,0.00696911,58.5185
Y3_3_im_z,0.0373738,0.00605637,83.2654
log_w1cov_mean_z,0.0282914,0.00573586,73.8462
abs_elat_z,0.0188603,0.00584954,73.4533
