label,w1_hi,w1_lo,w1_mode,D_hat,theta_signed_deg,theta_axis_deg,D_parallel,D_perp,depth_mode,eclip_template
baseline,15.5,,cumulative,0.01700160554933159,1.3546099891117345,1.3546099891117345,0.016996854134012883,0.0004019213880249695,none,abs_elat
baseline,15.55,,cumulative,0.017369957374599395,1.8025149100952136,1.8025149100952136,0.017361362384032405,0.0005463655971092932,none,abs_elat
baseline,15.6,,cumulative,0.017007422979119422,2.7766431947348265,2.7766431947348265,0.01698745572221425,0.0008238837760811606,none,abs_elat
baseline,15.65,,cumulative,0.017336364918602094,5.001624318813002,5.001624318813002,0.01727035197376844,0.0015114533711265675,none,abs_elat
baseline,15.7,,cumulative,0.016369080732195892,7.2678963904651885,7.2678963904651885,0.016237563073509254,0.002070833033094523,none,abs_elat
baseline,15.75,,cumulative,0.01629345634720367,6.760697926197459,6.760697926197459,0.016180159696871702,0.0019181115509688726,none,abs_elat
baseline,15.8,,cumulative,0.01651644594426033,7.136944789551051,7.136944789551051,0.01638847705536159,0.002052024959780043,none,abs_elat
baseline,15.85,,cumulative,0.016767882365594428,11.160586010041651,11.160586010041651,0.01645077719216178,0.003245582967705853,none,abs_elat
baseline,15.9,,cumulative,0.01583052366004936,11.501072125960016,11.501072125960016,0.015512662161526313,0.0031563890783191475,none,abs_elat
baseline,15.95,,cumulative,0.016444368250192447,11.701333561727768,11.701333561727768,0.016102622876996917,0.0033350837514450676,none,abs_elat
baseline,16.0,,cumulative,0.016619897465516013,14.374535675096734,14.374535675096734,0.01609958817923062,0.004126045591537156,none,abs_elat
baseline,16.05,,cumulative,0.016891580461406024,18.41979095442693,18.41979095442693,0.016026172842565436,0.005337347141077845,none,abs_elat
baseline,16.1,,cumulative,0.017215745687731637,20.554367012205674,20.554367012205674,0.016119782049304938,0.006044379725625842,none,abs_elat
baseline,16.15,,cumulative,0.017113379159124524,23.014650903150063,23.014650903150063,0.015751238219653654,0.0066907578637759434,none,abs_elat
baseline,16.2,,cumulative,0.017292824824720703,24.426683692859545,24.426683692859545,0.01574496433771591,0.007151076032495443,none,abs_elat
