epoch,mjd_mean,date_utc,N,D_glm,sigma_D_glm,D_vecsum
0,55288.47819166934,2010-04-02T11:28:35.760,216055,0.08890799746652447,0.004527586474444265,0.07368416068978724
1,55476.666752545185,2010-10-07T16:00:07.420,211020,0.08579642602462047,0.00421575060102179,0.09133026527276962
2,56414.24657627169,2013-05-02T05:55:04.190,210807,0.07704975564695278,0.004558908833487208,0.05833946160286896
3,56850.84224206883,2014-07-12T20:12:49.715,213353,0.07286777257787473,0.004309168928076735,0.06829392989941441
4,57034.211189575246,2015-01-12T05:04:06.779,210331,0.09841373973237726,0.00425190010288685,0.10060740448019324
5,57211.37721340474,2015-07-08T09:03:11.238,216465,0.0672213192858132,0.0034515858793904173,0.09372627512278596
6,57397.86594167974,2016-01-10T20:46:57.361,207609,0.09170620632794732,0.004231970694708734,0.09782433225756773
7,57577.92707977331,2016-07-08T22:14:59.692,213717,0.06916589536667583,0.0035773470726149724,0.09298824904552803
8,57759.48046016119,2017-01-06T11:31:51.758,211551,0.10486537307603364,0.004262100919007353,0.10689287626353064
9,57941.49442669008,2017-07-07T11:51:58.466,213332,0.08156953582204833,0.0044641866618674335,0.06252731579201015
10,58121.89469638973,2018-01-03T21:28:21.768,214378,0.10576613501842581,0.003959065727144955,0.12863870898026852
11,58303.941360599856,2018-07-04T22:35:33.556,221616,0.07255721281807469,0.0038542609747950238,0.08253914611268698
12,58484.894138436604,2019-01-01T21:27:33.561,222333,0.11765217483409168,0.003803145894886247,0.14927859578349964
13,58669.506630229946,2019-07-05T12:09:32.852,227636,0.07131808312756281,0.003940961041337227,0.07603635307383157
14,58846.993981030355,2019-12-29T23:51:19.961,230367,0.11748612327517056,0.0036513130288083114,0.15528717120647087
15,59027.38269214785,2020-06-27T09:11:04.602,229240,0.07305031403827168,0.003082235974881395,0.11175627511852709
16,59062.19490063771,2020-08-01T04:40:39.415,98898,0.3350933707098395,0.005937972363885983,0.4127808910234602
