epoch,mjd_mean,date_utc,N,D_glm,sigma_D_glm,D_vecsum
0,55296.85971759555,2010-04-10T20:37:59.600,51795359,0.14595237138713554,0.0003023536287877447,0.10297123879165572
1,55469.806396712134,2010-09-30T19:21:12.676,53775698,0.20626932145717838,0.00029757647495622276,0.14178250720329916
2,56405.36444423018,2013-04-23T08:44:47.981,41986017,0.18299147670359728,0.00033662964754362,0.1218927969757645
3,56855.22932027387,2014-07-17T05:30:13.272,42634353,0.18834709780991588,0.0003344175532245967,0.1283083067084868
4,57038.612113842166,2015-01-16T14:41:26.636,44762058,0.1524446993873756,0.0003265900640257605,0.10841958498691079
5,57220.1591798664,2015-07-17T03:49:13.140,43674120,0.19415289099841823,0.0003306039260427606,0.13378157759872078
6,57401.8338017018,2016-01-14T20:00:40.467,45010502,0.16210154488228012,0.00032375795141796886,0.12005078364277065
7,57581.03024926472,2016-07-12T00:43:33.536,43449445,0.2115951147550778,0.0003317903590346799,0.14380194563537083
8,57762.93610775101,2017-01-09T22:27:59.710,43183145,0.1503264169188208,0.00033130660924891007,0.11055414678129634
9,57944.550180786035,2017-07-10T13:12:15.620,42097285,0.19937068860167653,0.00033688286949934816,0.13702014704007615
10,58123.97820114415,2018-01-05T23:28:36.579,42153963,0.1595484311887928,0.00033419171643009923,0.11971880157261722
11,58306.59596208848,2018-07-07T14:18:11.124,41066622,0.2203885864575857,0.0003415438768850611,0.14974828221511066
12,58488.472923048525,2019-01-05T11:21:00.551,41505395,0.15655043876654803,0.00033662882998564174,0.11860400605267826
13,58669.31510032096,2019-07-05T07:33:44.668,40601016,0.20272794872148533,0.0003431799414583001,0.13698126019777881
14,58853.69227816513,2020-01-05T16:36:52.833,40768706,0.1546705710056981,0.00033909750307643203,0.1176333202530386
15,59024.95796295778,2020-06-24T22:59:28.000,38559273,0.21644482558321426,0.00035270850360776446,0.1504740747491213
16,59038.007159159286,2020-07-08T00:10:18.551,13987938,0.153009667696922,0.0003858543001627617,0.25016976160247695
